emoji,name,group,sub_group,codepoints,labels
🧍🏻‍♀,woman standing: light skin tone,People & Body,person-activity,1F9CD 1F3FB 200D 2640,
🧍🏼‍♀️,woman standing: medium-light skin tone,People & Body,person-activity,1F9CD 1F3FC 200D 2640 FE0F,
🧍🏼‍♀,woman standing: medium-light skin tone,People & Body,person-activity,1F9CD 1F3FC 200D 2640,
🧍🏽‍♀️,woman standing: medium skin tone,People & Body,person-activity,1F9CD 1F3FD 200D 2640 FE0F,
🧍🏽‍♀,woman standing: medium skin tone,People & Body,person-activity,1F9CD 1F3FD 200D 2640,
🧍🏾‍♀️,woman standing: medium-dark skin tone,People & Body,person-activity,1F9CD 1F3FE 200D 2640 FE0F,
🧍🏾‍♀,woman standing: medium-dark skin tone,People & Body,person-activity,1F9CD 1F3FE 200D 2640,
🧍🏿‍♀️,woman standing: dark skin tone,People & Body,person-activity,1F9CD 1F3FF 200D 2640 FE0F,
🧍🏿‍♀,woman standing: dark skin tone,People & Body,person-activity,1F9CD 1F3FF 200D 2640,
🧎,person kneeling,People & Body,person-activity,1F9CE,
🧎🏻,person kneeling: light skin tone,People & Body,person-activity,1F9CE 1F3FB,
🧎🏼,person kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC,
🧎🏽,person kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD,
🧎🏾,person kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE,
🧎🏿,person kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF,
🧎‍♂️,man kneeling,People & Body,person-activity,1F9CE 200D 2642 FE0F,
🧎‍♂,man kneeling,People & Body,person-activity,1F9CE 200D 2642,
🧎🏻‍♂️,man kneeling: light skin tone,People & Body,person-activity,1F9CE 1F3FB 200D 2642 FE0F,
🧎🏻‍♂,man kneeling: light skin tone,People & Body,person-activity,1F9CE 1F3FB 200D 2642,
🧎🏼‍♂️,man kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC 200D 2642 FE0F,
🧎🏼‍♂,man kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC 200D 2642,
🧎🏽‍♂️,man kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD 200D 2642 FE0F,
🧎🏽‍♂,man kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD 200D 2642,
🧎🏾‍♂️,man kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE 200D 2642 FE0F,
🧎🏾‍♂,man kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE 200D 2642,
🧎🏿‍♂️,man kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF 200D 2642 FE0F,
🧎🏿‍♂,man kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF 200D 2642,
🧎‍♀️,woman kneeling,People & Body,person-activity,1F9CE 200D 2640 FE0F,
🧎‍♀,woman kneeling,People & Body,person-activity,1F9CE 200D 2640,
🧎🏻‍♀️,woman kneeling: light skin tone,People & Body,person-activity,1F9CE 1F3FB 200D 2640 FE0F,
🧎🏻‍♀,woman kneeling: light skin tone,People & Body,person-activity,1F9CE 1F3FB 200D 2640,
🧎🏼‍♀️,woman kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC 200D 2640 FE0F,
🧎🏼‍♀,woman kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC 200D 2640,
🧎🏽‍♀️,woman kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD 200D 2640 FE0F,
🧎🏽‍♀,woman kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD 200D 2640,
🧎🏾‍♀️,woman kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE 200D 2640 FE0F,
🧎🏾‍♀,woman kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE 200D 2640,
🧎🏿‍♀️,woman kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF 200D 2640 FE0F,
🧎🏿‍♀,woman kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF 200D 2640,
👨‍🦯,man with probing cane,People & Body,person-activity,1F468 200D 1F9AF,
👨🏻‍🦯,man with probing cane: light skin tone,People & Body,person-activity,1F468 1F3FB 200D 1F9AF,
👨🏼‍🦯,man with probing cane: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9AF,
👨🏽‍🦯,man with probing cane: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9AF,
👨🏾‍🦯,man with probing cane: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9AF,
👨🏿‍🦯,man with probing cane: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9AF,
👩‍🦯,woman with probing cane,People & Body,person-activity,1F469 200D 1F9AF,
👩🏻‍🦯,woman with probing cane: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9AF,
👩🏼‍🦯,woman with probing cane: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9AF,
👩🏽‍🦯,woman with probing cane: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9AF,
👩🏾‍🦯,woman with probing cane: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9AF,
👩🏿‍🦯,woman with probing cane: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9AF,
👨‍🦼,man in motorized wheelchair,People & Body,person-activity,1F468 200D 1F9BC,
👨🏻‍🦼,man in motorized wheelchair: light skin tone,People & Body,person-activity,1F468 1F3FB 200D 1F9BC,
👨🏼‍🦼,man in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9BC,
👨🏽‍🦼,man in motorized wheelchair: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9BC,
👨🏾‍🦼,man in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9BC,
👨🏿‍🦼,man in motorized wheelchair: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9BC,
👩‍🦼,woman in motorized wheelchair,People & Body,person-activity,1F469 200D 1F9BC,
👩🏻‍🦼,woman in motorized wheelchair: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9BC,
👩🏼‍🦼,woman in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9BC,
👩🏽‍🦼,woman in motorized wheelchair: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9BC,
👩🏾‍🦼,woman in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9BC,
👩🏿‍🦼,woman in motorized wheelchair: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9BC,
👨‍🦽,man in manual wheelchair,People & Body,person-activity,1F468 200D 1F9BD,
👨🏻‍🦽,man in manual wheelchair: light skin tone,People & Body,person-activity,1F468 1F3FB 200D 1F9BD,
👨🏼‍🦽,man in manual wheelchair: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9BD,
👨🏽‍🦽,man in manual wheelchair: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9BD,
👨🏾‍🦽,man in manual wheelchair: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9BD,
👨🏿‍🦽,man in manual wheelchair: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9BD,
👩‍🦽,woman in manual wheelchair,People & Body,person-activity,1F469 200D 1F9BD,
👩🏻‍🦽,woman in manual wheelchair: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9BD,
👩🏼‍🦽,woman in manual wheelchair: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9BD,
👩🏽‍🦽,woman in manual wheelchair: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9BD,
👩🏾‍🦽,woman in manual wheelchair: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9BD,
👩🏿‍🦽,woman in manual wheelchair: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9BD,
🏃,person running,People & Body,person-activity,1F3C3,
🏃🏻,person running: light skin tone,People & Body,person-activity,1F3C3 1F3FB,
🏃🏼,person running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC,
🏃🏽,person running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD,
🏃🏾,person running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE,
🏃🏿,person running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF,
🏃‍♂️,man running,People & Body,person-activity,1F3C3 200D 2642 FE0F,
🏃‍♂,man running,People & Body,person-activity,1F3C3 200D 2642,
🏃🏻‍♂️,man running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2642 FE0F,
🏃🏻‍♂,man running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2642,
🏃🏼‍♂️,man running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2642 FE0F,
🏃🏼‍♂,man running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2642,
🏃🏽‍♂️,man running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2642 FE0F,
🏃🏽‍♂,man running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2642,
🏃🏾‍♂️,man running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2642 FE0F,
🏃🏾‍♂,man running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2642,
🏃🏿‍♂️,man running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2642 FE0F,
🏃🏿‍♂,man running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2642,
🏃‍♀️,woman running,People & Body,person-activity,1F3C3 200D 2640 FE0F,
🏃‍♀,woman running,People & Body,person-activity,1F3C3 200D 2640,
🏃🏻‍♀️,woman running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2640 FE0F,
🏃🏻‍♀,woman running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2640,
🏃🏼‍♀️,woman running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2640 FE0F,
🏃🏼‍♀,woman running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2640,
🏃🏽‍♀️,woman running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2640 FE0F,
🏃🏽‍♀,woman running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2640,
🏃🏾‍♀️,woman running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2640 FE0F,
🏃🏾‍♀,woman running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2640,
🏃🏿‍♀️,woman running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2640 FE0F,
🏃🏿‍♀,woman running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2640,
💃,woman dancing,People & Body,person-activity,1F483,
💃🏻,woman dancing: light skin tone,People & Body,person-activity,1F483 1F3FB,
💃🏼,woman dancing: medium-light skin tone,People & Body,person-activity,1F483 1F3FC,
💃🏽,woman dancing: medium skin tone,People & Body,person-activity,1F483 1F3FD,
💃🏾,woman dancing: medium-dark skin tone,People & Body,person-activity,1F483 1F3FE,
💃🏿,woman dancing: dark skin tone,People & Body,person-activity,1F483 1F3FF,
🕺,man dancing,People & Body,person-activity,1F57A,
🕺🏻,man dancing: light skin tone,People & Body,person-activity,1F57A 1F3FB,
🕺🏼,man dancing: medium-light skin tone,People & Body,person-activity,1F57A 1F3FC,
🕺🏽,man dancing: medium skin tone,People & Body,person-activity,1F57A 1F3FD,
🕺🏾,man dancing: medium-dark skin tone,People & Body,person-activity,1F57A 1F3FE,
🕺🏿,man dancing: dark skin tone,People & Body,person-activity,1F57A 1F3FF,
🕴️,man in suit levitating,People & Body,person-activity,1F574 FE0F,
🕴,man in suit levitating,People & Body,person-activity,1F574,
🕴🏻,man in suit levitating: light skin tone,People & Body,person-activity,1F574 1F3FB,
🕴🏼,man in suit levitating: medium-light skin tone,People & Body,person-activity,1F574 1F3FC,
🕴🏽,man in suit levitating: medium skin tone,People & Body,person-activity,1F574 1F3FD,
🕴🏾,man in suit levitating: medium-dark skin tone,People & Body,person-activity,1F574 1F3FE,
🕴🏿,man in suit levitating: dark skin tone,People & Body,person-activity,1F574 1F3FF,
👯,people with bunny ears,People & Body,person-activity,1F46F,
👯‍♂️,men with bunny ears,People & Body,person-activity,1F46F 200D 2642 FE0F,
👯‍♂,men with bunny ears,People & Body,person-activity,1F46F 200D 2642,
👯‍♀️,women with bunny ears,People & Body,person-activity,1F46F 200D 2640 FE0F,
👯‍♀,women with bunny ears,People & Body,person-activity,1F46F 200D 2640,
🧖,person in steamy room,People & Body,person-activity,1F9D6,
🧖🏻,person in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB,
🧖🏼,person in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC,
🧖🏽,person in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD,
🧖🏾,person in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE,
🧖🏿,person in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF,
🧖‍♂️,man in steamy room,People & Body,person-activity,1F9D6 200D 2642 FE0F,
🧖‍♂,man in steamy room,People & Body,person-activity,1F9D6 200D 2642,
🧖🏻‍♂️,man in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2642 FE0F,
🧖🏻‍♂,man in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2642,
🧖🏼‍♂️,man in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2642 FE0F,
🧖🏼‍♂,man in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2642,
🧖🏽‍♂️,man in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2642 FE0F,
🧖🏽‍♂,man in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2642,
🧖🏾‍♂️,man in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2642 FE0F,
🧖🏾‍♂,man in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2642,
🧖🏿‍♂️,man in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2642 FE0F,
🧖🏿‍♂,man in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2642,
🧖‍♀️,woman in steamy room,People & Body,person-activity,1F9D6 200D 2640 FE0F,
🧖‍♀,woman in steamy room,People & Body,person-activity,1F9D6 200D 2640,
🧖🏻‍♀️,woman in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2640 FE0F,
🧖🏻‍♀,woman in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2640,
🧖🏼‍♀️,woman in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2640 FE0F,
🧖🏼‍♀,woman in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2640,
🧖🏽‍♀️,woman in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2640 FE0F,
🧖🏽‍♀,woman in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2640,
🧖🏾‍♀️,woman in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2640 FE0F,
🧖🏾‍♀,woman in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2640,
🧖🏿‍♀️,woman in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2640 FE0F,
🧖🏿‍♀,woman in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2640,
🧗,person climbing,People & Body,person-activity,1F9D7,
🧗🏻,person climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB,
🧗🏼,person climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC,
🧗🏽,person climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD,
🧗🏾,person climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE,
🧗🏿,person climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF,
🧗‍♂️,man climbing,People & Body,person-activity,1F9D7 200D 2642 FE0F,
🧗‍♂,man climbing,People & Body,person-activity,1F9D7 200D 2642,
🧗🏻‍♂️,man climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2642 FE0F,
🧗🏻‍♂,man climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2642,
🧗🏼‍♂️,man climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2642 FE0F,
🧗🏼‍♂,man climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2642,
🧗🏽‍♂️,man climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2642 FE0F,
🧗🏽‍♂,man climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2642,
🧗🏾‍♂️,man climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2642 FE0F,
🧗🏾‍♂,man climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2642,
🧗🏿‍♂️,man climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2642 FE0F,
🧗🏿‍♂,man climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2642,
🧗‍♀️,woman climbing,People & Body,person-activity,1F9D7 200D 2640 FE0F,
🧗‍♀,woman climbing,People & Body,person-activity,1F9D7 200D 2640,
🧗🏻‍♀️,woman climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2640 FE0F,
🧗🏻‍♀,woman climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2640,
🧗🏼‍♀️,woman climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2640 FE0F,
🧗🏼‍♀,woman climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2640,
🧗🏽‍♀️,woman climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2640 FE0F,
🧗🏽‍♀,woman climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2640,
🧗🏾‍♀️,woman climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2640 FE0F,
🧗🏾‍♀,woman climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2640,
🧗🏿‍♀️,woman climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2640 FE0F,
🧗🏿‍♀,woman climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2640,
🤺,person fencing,People & Body,person-sport,1F93A,
🏇,horse racing,People & Body,person-sport,1F3C7,
🏇🏻,horse racing: light skin tone,People & Body,person-sport,1F3C7 1F3FB,
🏇🏼,horse racing: medium-light skin tone,People & Body,person-sport,1F3C7 1F3FC,
🏇🏽,horse racing: medium skin tone,People & Body,person-sport,1F3C7 1F3FD,
🏇🏾,horse racing: medium-dark skin tone,People & Body,person-sport,1F3C7 1F3FE,
🏇🏿,horse racing: dark skin tone,People & Body,person-sport,1F3C7 1F3FF,
⛷️,skier,People & Body,person-sport,26F7 FE0F,
⛷,skier,People & Body,person-sport,26F7,
🏂,snowboarder,People & Body,person-sport,1F3C2,
🏂🏻,snowboarder: light skin tone,People & Body,person-sport,1F3C2 1F3FB,
🏂🏼,snowboarder: medium-light skin tone,People & Body,person-sport,1F3C2 1F3FC,
🏂🏽,snowboarder: medium skin tone,People & Body,person-sport,1F3C2 1F3FD,
🏂🏾,snowboarder: medium-dark skin tone,People & Body,person-sport,1F3C2 1F3FE,
🏂🏿,snowboarder: dark skin tone,People & Body,person-sport,1F3C2 1F3FF,
🏌️,person golfing,People & Body,person-sport,1F3CC FE0F,
🏌,person golfing,People & Body,person-sport,1F3CC,
🏌🏻,person golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB,
🏌🏼,person golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC,
🏌🏽,person golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD,
🏌🏾,person golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE,
🏌🏿,person golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF,
🏌️‍♂️,man golfing,People & Body,person-sport,1F3CC FE0F 200D 2642 FE0F,
🏌‍♂️,man golfing,People & Body,person-sport,1F3CC 200D 2642 FE0F,
🏌️‍♂,man golfing,People & Body,person-sport,1F3CC FE0F 200D 2642,
🏌‍♂,man golfing,People & Body,person-sport,1F3CC 200D 2642,
🏌🏻‍♂️,man golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB 200D 2642 FE0F,
🏌🏻‍♂,man golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB 200D 2642,
🏌🏼‍♂️,man golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC 200D 2642 FE0F,
🏌🏼‍♂,man golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC 200D 2642,
🏌🏽‍♂️,man golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD 200D 2642 FE0F,
🏌🏽‍♂,man golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD 200D 2642,
🏌🏾‍♂️,man golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE 200D 2642 FE0F,
🏌🏾‍♂,man golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE 200D 2642,
🏌🏿‍♂️,man golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF 200D 2642 FE0F,
🏌🏿‍♂,man golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF 200D 2642,
🏌️‍♀️,woman golfing,People & Body,person-sport,1F3CC FE0F 200D 2640 FE0F,
🏌‍♀️,woman golfing,People & Body,person-sport,1F3CC 200D 2640 FE0F,
🏌️‍♀,woman golfing,People & Body,person-sport,1F3CC FE0F 200D 2640,
🏌‍♀,woman golfing,People & Body,person-sport,1F3CC 200D 2640,
🏌🏻‍♀️,woman golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB 200D 2640 FE0F,
🏌🏻‍♀,woman golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB 200D 2640,
🏌🏼‍♀️,woman golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC 200D 2640 FE0F,
🏌🏼‍♀,woman golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC 200D 2640,
🏌🏽‍♀️,woman golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD 200D 2640 FE0F,
🏌🏽‍♀,woman golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD 200D 2640,
🏌🏾‍♀️,woman golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE 200D 2640 FE0F,
🏌🏾‍♀,woman golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE 200D 2640,
🏌🏿‍♀️,woman golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF 200D 2640 FE0F,
🏌🏿‍♀,woman golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF 200D 2640,
🏄,person surfing,People & Body,person-sport,1F3C4,
🏄🏻,person surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB,
🏄🏼,person surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC,
🏄🏽,person surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD,
🏄🏾,person surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE,
🏄🏿,person surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF,
🏄‍♂️,man surfing,People & Body,person-sport,1F3C4 200D 2642 FE0F,
🏄‍♂,man surfing,People & Body,person-sport,1F3C4 200D 2642,
🏄🏻‍♂️,man surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB 200D 2642 FE0F,
🏄🏻‍♂,man surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB 200D 2642,
🏄🏼‍♂️,man surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC 200D 2642 FE0F,
🏄🏼‍♂,man surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC 200D 2642,
🏄🏽‍♂️,man surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD 200D 2642 FE0F,
🏄🏽‍♂,man surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD 200D 2642,
🏄🏾‍♂️,man surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE 200D 2642 FE0F,
🏄🏾‍♂,man surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE 200D 2642,
🏄🏿‍♂️,man surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF 200D 2642 FE0F,
🏄🏿‍♂,man surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF 200D 2642,
🏄‍♀️,woman surfing,People & Body,person-sport,1F3C4 200D 2640 FE0F,
🏄‍♀,woman surfing,People & Body,person-sport,1F3C4 200D 2640,
🏄🏻‍♀️,woman surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB 200D 2640 FE0F,
🏄🏻‍♀,woman surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB 200D 2640,
🏄🏼‍♀️,woman surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC 200D 2640 FE0F,
🏄🏼‍♀,woman surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC 200D 2640,
🏄🏽‍♀️,woman surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD 200D 2640 FE0F,
🏄🏽‍♀,woman surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD 200D 2640,
🏄🏾‍♀️,woman surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE 200D 2640 FE0F,
🏄🏾‍♀,woman surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE 200D 2640,
🏄🏿‍♀️,woman surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF 200D 2640 FE0F,
🏄🏿‍♀,woman surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF 200D 2640,
🚣,person rowing boat,People & Body,person-sport,1F6A3,
🚣🏻,person rowing boat: light skin tone,People & Body,person-sport,1F6A3 1F3FB,
🚣🏼,person rowing boat: medium-light skin tone,People & Body,person-sport,1F6A3 1F3FC,
🚣🏽,person rowing boat: medium skin tone,People & Body,person-sport,1F6A3 1F3FD,
🚣🏾,person rowing boat: medium-dark skin tone,People & Body,person-sport,1F6A3 1F3FE,
🚣🏿,person rowing boat: dark skin tone,People & Body,person-sport,1F6A3 1F3FF,
🚣‍♂️,man rowing boat,People & Body,person-sport,1F6A3 200D 2642 FE0F,
🚣‍♂,man rowing boat,People & Body,person-sport,1F6A3 200D 2642,
🚣🏻‍♂️,man rowing boat: light skin tone,People & Body,person-sport,1F6A3 1F3FB 200D 2642 FE0F,
🚣🏻‍♂,man rowing boat: light skin tone,People & Body,person-sport,1F6A3 1F3FB 200D 2642,
🚣🏼‍♂️,man rowing boat: medium-light skin tone,People & Body,person-sport,1F6A3 1F3FC 200D 2642 FE0F,
🚣🏼‍♂,man rowing boat: medium-light skin tone,People & Body,person-sport,1F6A3 1F3FC 200D 2642,
